Genomic locus      	RRC Startpoint rate      	RRC Midpoint rate      	RRC Endpoint rate      	Comeron Startpoint rate      	Comeron Midpoint rate      	Comeron Endpoint rate
3L:0..100000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
3L:100000..200000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
3L:200000..300000      	0.00      	0.00      	0.00      	0.00      	0.21      	0.21
3L:300000..400000      	0.00      	0.00      	0.00      	0.21      	0.90      	0.90
3L:400000..500000      	0.00      	0.00      	0.00      	0.90      	0.42      	0.42
3L:500000..600000      	0.00      	0.00      	0.00      	0.42      	0.42      	0.42
3L:600000..700000      	0.00      	0.00      	0.00      	0.42      	1.32      	1.32
3L:700000..800000      	0.00      	3.07      	3.08      	1.32      	2.42      	2.42
3L:800000..900000      	3.08      	3.09      	3.10      	2.42      	1.45      	1.45
3L:900000..1000000      	3.10      	3.11      	3.11      	1.45      	1.32      	1.32
3L:1000000..1100000      	3.11      	3.12      	3.13      	1.32      	2.70      	2.70
3L:1100000..1200000      	3.13      	3.14      	3.14      	2.70      	2.28      	2.28
3L:1200000..1300000      	3.14      	3.15      	3.16      	2.28      	1.66      	1.66
3L:1300000..1400000      	3.16      	3.17      	3.17      	1.66      	1.52      	1.52
3L:1400000..1500000      	3.17      	3.18      	3.19      	1.52      	3.67      	3.67
3L:1500000..1600000      	3.19      	3.19      	3.20      	3.67      	3.53      	3.53
3L:1600000..1700000      	3.20      	3.21      	3.21      	3.53      	1.66      	1.66
3L:1700000..1800000      	3.21      	3.22      	3.23      	1.66      	1.38      	1.38
3L:1800000..1900000      	3.23      	3.23      	3.24      	1.38      	3.18      	3.18
3L:1900000..2000000      	3.24      	3.25      	3.25      	3.18      	3.95      	3.95
3L:2000000..2100000      	3.25      	3.26      	3.26      	3.95      	1.45      	1.45
3L:2100000..2200000      	3.26      	3.27      	3.27      	1.45      	4.85      	4.85
3L:2200000..2300000      	3.27      	3.28      	3.29      	4.85      	2.01      	2.01
3L:2300000..2400000      	3.29      	3.29      	3.30      	2.01      	2.08      	2.08
3L:2400000..2500000      	3.30      	3.30      	3.31      	2.08      	1.25      	1.25
3L:2500000..2600000      	3.31      	3.31      	3.32      	1.25      	4.43      	4.43
3L:2600000..2700000      	3.32      	3.32      	3.33      	4.43      	2.77      	2.77
3L:2700000..2800000      	3.33      	3.33      	3.34      	2.77      	5.47      	5.47
3L:2800000..2900000      	3.34      	3.34      	3.34      	5.47      	0.97      	0.97
3L:2900000..3000000      	3.34      	3.35      	3.35      	0.97      	2.01      	2.01
3L:3000000..3100000      	3.35      	3.36      	3.36      	2.01      	1.18      	1.18
3L:3100000..3200000      	3.36      	3.37      	3.37      	1.18      	1.32      	1.32
3L:3200000..3300000      	3.37      	3.37      	3.38      	1.32      	2.08      	2.08
3L:3300000..3400000      	3.38      	3.38      	3.38      	2.08      	1.25      	1.25
3L:3400000..3500000      	3.38      	3.39      	3.39      	1.25      	2.22      	2.22
3L:3500000..3600000      	3.39      	3.39      	3.40      	2.22      	1.45      	1.45
3L:3600000..3700000      	3.40      	3.40      	3.40      	1.45      	1.11      	1.11
3L:3700000..3800000      	3.40      	3.41      	3.41      	1.11      	4.08      	4.08
3L:3800000..3900000      	3.41      	3.41      	3.41      	4.08      	4.50      	4.50
3L:3900000..4000000      	3.41      	3.42      	3.42      	4.50      	3.60      	3.60
3L:4000000..4100000      	3.42      	3.42      	3.42      	3.60      	2.42      	2.42
3L:4100000..4200000      	3.42      	3.43      	3.43      	2.42      	2.84      	2.84
3L:4200000..4300000      	3.43      	3.43      	3.43      	2.84      	2.28      	2.28
3L:4300000..4400000      	3.43      	3.43      	3.44      	2.28      	3.53      	3.53
3L:4400000..4500000      	3.44      	3.44      	3.44      	3.53      	2.22      	2.22
3L:4500000..4600000      	3.44      	3.44      	3.44      	2.22      	4.08      	4.08
3L:4600000..4700000      	3.44      	3.44      	3.45      	4.08      	6.58      	6.58
3L:4700000..4800000      	3.45      	3.45      	3.45      	6.58      	2.22      	2.22
3L:4800000..4900000      	3.45      	3.45      	3.45      	2.22      	2.15      	2.15
3L:4900000..5000000      	3.45      	3.45      	3.45      	2.15      	3.12      	3.12
3L:5000000..5100000      	3.45      	3.45      	3.45      	3.12      	5.05      	5.05
3L:5100000..5200000      	3.45      	3.45      	3.45      	5.05      	1.52      	1.52
3L:5200000..5300000      	3.45      	3.45      	3.45      	1.52      	5.12      	5.12
3L:5300000..5400000      	3.45      	3.45      	3.45      	5.12      	2.63      	2.63
3L:5400000..5500000      	3.45      	3.45      	3.45      	2.63      	1.73      	1.73
3L:5500000..5600000      	3.45      	3.45      	3.45      	1.73      	1.87      	1.87
3L:5600000..5700000      	3.45      	3.45      	3.45      	1.87      	1.80      	1.80
3L:5700000..5800000      	3.45      	3.45      	3.45      	1.80      	2.35      	2.35
3L:5800000..5900000      	3.45      	3.45      	3.45      	2.35      	2.77      	2.77
3L:5900000..6000000      	3.45      	3.45      	3.45      	2.77      	1.45      	1.45
3L:6000000..6100000      	3.45      	3.44      	3.44      	1.45      	0.90      	0.90
3L:6100000..6200000      	3.44      	3.44      	3.44      	0.90      	1.32      	1.32
3L:6200000..6300000      	3.44      	3.44      	3.44      	1.32      	0.90      	0.90
3L:6300000..6400000      	3.44      	3.44      	3.43      	0.90      	2.15      	2.15
3L:6400000..6500000      	3.43      	3.43      	3.43      	2.15      	1.04      	1.04
3L:6500000..6600000      	3.43      	3.43      	3.43      	1.04      	3.18      	3.18
3L:6600000..6700000      	3.43      	3.42      	3.42      	3.18      	0.69      	0.69
3L:6700000..6800000      	3.42      	3.42      	3.42      	0.69      	1.38      	1.38
3L:6800000..6900000      	3.42      	3.41      	3.41      	1.38      	1.66      	1.66
3L:6900000..7000000      	3.41      	3.41      	3.41      	1.66      	3.12      	3.12
3L:7000000..7100000      	3.41      	3.40      	3.40      	3.12      	2.63      	2.63
3L:7100000..7200000      	3.40      	3.40      	3.39      	2.63      	5.12      	5.12
3L:7200000..7300000      	3.39      	3.39      	3.39      	5.12      	3.32      	3.32
3L:7300000..7400000      	3.39      	3.38      	3.38      	3.32      	1.94      	1.94
3L:7400000..7500000      	3.38      	3.38      	3.37      	1.94      	3.12      	3.12
3L:7500000..7600000      	3.37      	3.37      	3.36      	3.12      	2.01      	2.01
3L:7600000..7700000      	3.36      	3.36      	3.36      	2.01      	1.11      	1.11
3L:7700000..7800000      	3.36      	3.35      	3.35      	1.11      	0.83      	0.83
3L:7800000..7900000      	3.35      	3.34      	3.34      	0.83      	3.25      	3.25
3L:7900000..8000000      	3.34      	3.33      	3.33      	3.25      	2.70      	2.70
3L:8000000..8100000      	3.33      	3.33      	3.32      	2.70      	4.43      	4.43
3L:8100000..8200000      	3.32      	3.32      	3.31      	4.43      	1.87      	1.87
3L:8200000..8300000      	3.31      	3.31      	3.30      	1.87      	1.94      	1.94
3L:8300000..8400000      	3.30      	3.29      	3.29      	1.94      	2.22      	2.22
3L:8400000..8500000      	3.29      	3.28      	3.28      	2.22      	2.63      	2.63
3L:8500000..8600000      	3.28      	3.27      	3.27      	2.63      	3.88      	3.88
3L:8600000..8700000      	3.27      	3.26      	3.26      	3.88      	3.67      	3.67
3L:8700000..8800000      	3.26      	3.25      	3.24      	3.67      	3.88      	3.88
