Genomic locus      	RRC Startpoint rate      	RRC Midpoint rate      	RRC Endpoint rate      	Comeron Startpoint rate      	Comeron Midpoint rate      	Comeron Endpoint rate
3R:0..100000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
3R:100000..200000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
3R:200000..300000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
3R:300000..400000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
3R:400000..500000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
3R:500000..600000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
3R:600000..700000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
3R:700000..800000      	0.00      	0.00      	0.00      	0.00      	0.11      	0.11
3R:800000..900000      	0.00      	0.00      	0.00      	0.11      	0.00      	0.00
3R:900000..1000000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
3R:1000000..1100000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
3R:1100000..1200000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
3R:1200000..1300000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
3R:1300000..1400000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
3R:1400000..1500000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
3R:1500000..1600000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
3R:1600000..1700000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
3R:1700000..1800000      	0.00      	0.00      	0.00      	0.00      	0.11      	0.11
3R:1800000..1900000      	0.00      	0.00      	0.00      	0.11      	0.00      	0.00
3R:1900000..2000000      	0.00      	0.00      	0.00      	0.00      	0.11      	0.11
3R:2000000..2100000      	0.00      	0.00      	0.00      	0.11      	0.00      	0.00
3R:2100000..2200000      	0.00      	0.00      	0.00      	0.00      	0.22      	0.22
3R:2200000..2300000      	0.00      	0.00      	0.00      	0.22      	0.00      	0.00
3R:2300000..2400000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
3R:2400000..2500000      	0.00      	0.00      	0.00      	0.00      	0.33      	0.33
3R:2500000..2600000      	0.00      	0.00      	0.00      	0.33      	0.00      	0.00
3R:2600000..2700000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
3R:2700000..2800000      	0.00      	0.00      	0.00      	0.00      	0.33      	0.33
3R:2800000..2900000      	0.00      	0.00      	0.00      	0.33      	0.22      	0.22
3R:2900000..3000000      	0.00      	0.00      	0.00      	0.22      	0.11      	0.11
3R:3000000..3100000      	0.00      	0.00      	0.00      	0.11      	0.00      	0.00
